platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
wechat,公众号,2026-07-13,7,3,4,0.0,0.0,0.0,1,2144,2894,92,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
xhs,小红书,2026-07-14,5,1,4,122.21,9.78,0.0,1,1120,1512,39,7,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
douyin,抖音,2026-07-14,3,1,2,0.0,0.0,0.0,1,1238,1671,46,7,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
zhihu,知乎,2026-07-14,7,3,4,0.0,0.0,0.0,0,1489,2010,58,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
bili,B站,2026-07-14,11,4,7,31.28,0.0,31.28,0,1862,2514,76,11,20,7,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
wechat,公众号,2026-07-14,9,3,6,0.0,0.0,0.0,0,2051,2769,88,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
xhs,小红书,2026-07-15,7,1,6,134.48,10.76,0.0,0,1083,1462,38,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
douyin,抖音,2026-07-15,3,1,2,0.0,0.0,0.0,0,1283,1732,47,8,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
zhihu,知乎,2026-07-15,9,4,5,0.0,0.0,0.0,1,1547,2088,60,9,17,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
bili,B站,2026-07-15,8,2,6,21.13,0.0,21.13,0,1834,2476,75,11,20,7,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
wechat,公众号,2026-07-15,16,5,11,0.0,0.0,0.0,0,2074,2800,89,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
xhs,小红书,2026-07-16,2,1,1,94.95,7.6,0.0,0,1134,1531,40,7,12,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
douyin,抖音,2026-07-16,5,0,5,0.0,0.0,0.0,0,1372,1852,51,8,15,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
zhihu,知乎,2026-07-16,10,4,6,0.0,0.0,0.0,0,1644,2219,64,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
bili,B站,2026-07-16,11,3,8,46.98,0.0,46.98,1,1947,2628,80,12,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
wechat,公众号,2026-07-16,17,3,14,0.0,0.0,0.0,1,2092,2824,90,13,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
xhs,小红书,2026-07-17,9,1,8,96.89,7.75,0.0,1,1055,1424,37,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
douyin,抖音,2026-07-17,4,1,3,0.0,0.0,0.0,0,1448,1955,54,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
zhihu,知乎,2026-07-17,13,2,11,0.0,0.0,0.0,0,1669,2253,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
bili,B站,2026-07-17,16,0,16,40.86,0.0,40.86,0,1803,2434,74,11,20,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
wechat,公众号,2026-07-17,17,2,15,0.0,0.0,0.0,0,2112,2851,91,13,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
xhs,小红书,2026-07-18,5,1,4,137.32,10.99,0.0,0,1057,1427,37,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
douyin,抖音,2026-07-18,9,1,8,0.0,0.0,0.0,1,1412,1906,52,8,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
zhihu,知乎,2026-07-18,13,4,9,0.0,0.0,0.0,1,1573,2124,61,9,17,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
bili,B站,2026-07-18,10,3,7,63.92,0.0,63.92,0,1970,2660,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
wechat,公众号,2026-07-18,10,4,6,0.0,0.0,0.0,0,2073,2799,89,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
xhs,小红书,2026-07-19,9,0,9,104.21,8.34,0.0,0,1096,1480,38,7,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
douyin,抖音,2026-07-19,10,0,10,0.0,0.0,0.0,0,1333,1800,49,8,15,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
zhihu,知乎,2026-07-19,13,3,10,0.0,0.0,0.0,0,1615,2180,63,10,18,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
bili,B站,2026-07-19,10,2,8,31.39,0.0,31.39,0,1955,2639,80,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
wechat,公众号,2026-07-19,18,2,16,0.0,0.0,0.0,1,2164,2921,93,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
xhs,小红书,2026-07-20,9,2,7,105.12,8.41,0.0,1,1183,1597,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
douyin,抖音,2026-07-20,5,0,5,0.0,0.0,0.0,0,1497,2021,55,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
zhihu,知乎,2026-07-20,13,1,12,0.0,0.0,0.0,0,1690,2282,66,10,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
bili,B站,2026-07-20,7,2,5,62.77,0.0,62.77,1,1965,2653,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
wechat,公众号,2026-07-20,11,1,10,0.0,0.0,0.0,0,2248,3035,97,13,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
xhs,小红书,2026-07-21,3,2,1,82.99,6.64,0.0,0,1172,1582,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
douyin,抖音,2026-07-21,12,2,10,0.0,0.0,0.0,0,1378,1860,51,8,15,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
zhihu,知乎,2026-07-21,4,2,2,0.0,0.0,0.0,1,1655,2234,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
bili,B站,2026-07-21,5,1,4,23.76,0.0,23.76,0,1916,2587,79,11,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
wechat,公众号,2026-07-21,15,2,13,0.0,0.0,0.0,0,2160,2916,93,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
xhs,小红书,2026-07-22,2,3,-1,110.81,8.86,0.0,0,1276,1723,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
douyin,抖音,2026-07-22,5,2,3,0.0,0.0,0.0,1,1518,2049,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
zhihu,知乎,2026-07-22,12,0,12,0.0,0.0,0.0,0,1754,2368,68,11,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
bili,B站,2026-07-22,15,0,15,58.01,0.0,58.01,0,1974,2665,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
wechat,公众号,2026-07-22,18,5,13,0.0,0.0,0.0,1,2253,3042,97,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
xhs,小红书,2026-07-23,9,2,7,136.37,10.91,0.0,1,1149,1551,40,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
douyin,抖音,2026-07-23,9,0,9,0.0,0.0,0.0,0,1540,2079,57,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
zhihu,知乎,2026-07-23,12,0,12,0.0,0.0,0.0,0,1756,2371,68,11,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
bili,B站,2026-07-23,16,0,16,61.6,0.0,61.6,0,2011,2715,82,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
wechat,公众号,2026-07-23,13,4,9,0.0,0.0,0.0,0,2280,3078,98,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
xhs,小红书,2026-07-24,7,0,7,114.48,9.16,0.0,0,1192,1609,42,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
douyin,抖音,2026-07-24,8,1,7,0.0,0.0,0.0,0,1407,1899,52,8,15,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
zhihu,知乎,2026-07-24,9,0,9,0.0,0.0,0.0,1,1663,2245,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
bili,B站,2026-07-24,14,0,14,36.92,0.0,36.92,1,2045,2761,84,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
wechat,公众号,2026-07-24,13,5,8,0.0,0.0,0.0,0,2292,3094,99,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
xhs,小红书,2026-07-25,4,2,2,84.81,6.78,0.0,0,1158,1563,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
douyin,抖音,2026-07-25,5,3,2,0.0,0.0,0.0,0,1513,2043,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
zhihu,知乎,2026-07-25,11,0,11,0.0,0.0,0.0,0,1722,2325,67,10,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
bili,B站,2026-07-25,7,1,6,31.77,0.0,31.77,0,2086,2816,86,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
wechat,公众号,2026-07-25,12,5,7,0.0,0.0,0.0,1,2294,3097,99,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
xhs,小红书,2026-07-26,3,0,3,118.46,9.48,0.0,1,1329,1794,47,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
douyin,抖音,2026-07-26,3,1,2,0.0,0.0,0.0,1,1556,2101,58,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
zhihu,知乎,2026-07-26,12,1,11,0.0,0.0,0.0,0,1783,2407,70,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
bili,B站,2026-07-26,5,3,2,40.15,0.0,40.15,0,2059,2780,84,12,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
wechat,公众号,2026-07-26,11,1,10,0.0,0.0,0.0,0,2366,3194,102,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
xhs,小红书,2026-07-27,7,1,6,139.91,11.19,0.0,0,1189,1605,42,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
douyin,抖音,2026-07-27,9,1,8,0.0,0.0,0.0,0,1465,1978,54,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
zhihu,知乎,2026-07-27,13,4,9,0.0,0.0,0.0,1,1824,2462,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
bili,B站,2026-07-27,5,1,4,44.9,0.0,44.9,0,2029,2739,83,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
wechat,公众号,2026-07-27,7,2,5,0.0,0.0,0.0,0,2351,3174,101,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
xhs,小红书,2026-07-28,4,3,1,95.42,7.63,0.0,0,1344,1814,47,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
douyin,抖音,2026-07-28,5,3,2,0.0,0.0,0.0,0,1510,2039,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
zhihu,知乎,2026-07-28,8,0,8,0.0,0.0,0.0,0,1795,2423,70,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
bili,B站,2026-07-28,11,2,9,56.33,0.0,56.33,1,1996,2695,82,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
wechat,公众号,2026-07-28,18,5,13,0.0,0.0,0.0,1,2322,3135,100,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
xhs,小红书,2026-07-29,2,1,1,89.64,7.17,0.0,1,1295,1748,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
douyin,抖音,2026-07-29,4,3,1,0.0,0.0,0.0,0,1510,2039,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
zhihu,知乎,2026-07-29,9,2,7,0.0,0.0,0.0,0,1818,2454,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
bili,B站,2026-07-29,11,0,11,21.89,0.0,21.89,0,2154,2908,88,13,24,9,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
wechat,公众号,2026-07-29,12,4,8,0.0,0.0,0.0,0,2339,3158,101,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
xhs,小红书,2026-07-30,6,1,5,127.16,10.17,0.0,0,1320,1782,46,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
douyin,抖音,2026-07-30,11,0,11,0.0,0.0,0.0,1,1583,2137,59,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
zhihu,知乎,2026-07-30,12,2,10,0.0,0.0,0.0,1,1832,2473,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
bili,B站,2026-07-30,13,3,10,58.83,0.0,58.83,0,2139,2888,88,13,24,9,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
wechat,公众号,2026-07-30,10,5,5,0.0,0.0,0.0,0,2326,3140,100,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
xhs,小红书,2026-07-31,8,2,6,82.3,6.58,0.0,0,1297,1751,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
douyin,抖音,2026-07-31,3,3,0,0.0,0.0,0.0,0,1577,2129,58,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
zhihu,知乎,2026-07-31,8,0,8,0.0,0.0,0.0,0,1937,2615,76,12,21,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
bili,B站,2026-07-31,13,2,11,39.28,0.0,39.28,0,2088,2819,86,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
wechat,公众号,2026-07-31,15,2,13,0.0,0.0,0.0,1,2440,3294,105,15,27,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
xhs,小红书,2026-08-01,3,2,1,139.48,11.16,0.0,1,1449,1956,51,9,16,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-01T12:00:00+08:00
douyin,抖音,2026-08-01,10,2,8,0.0,0.0,0.0,0,1553,2097,57,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-01T12:00:00+08:00
zhihu,知乎,2026-08-01,10,3,7,0.0,0.0,0.0,0,1923,2596,75,12,21,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-01T12:00:00+08:00
bili,B站,2026-08-01,5,1,4,38.27,0.0,38.27,1,2177,2939,89,13,24,9,7,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-01T12:00:00+08:00
wechat,公众号,2026-08-01,7,5,2,0.0,0.0,0.0,0,2325,3139,100,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-01T12:00:00+08:00
xhs,小红书,2026-08-02,10,3,7,108.59,8.69,0.0,0,1297,1751,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-02T12:00:00+08:00
douyin,抖音,2026-08-02,4,1,3,0.0,0.0,0.0,0,1638,2211,61,10,18,7,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-02T12:00:00+08:00
zhihu,知乎,2026-08-02,8,3,5,0.0,0.0,0.0,1,1984,2678,77,12,22,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-02T12:00:00+08:00
bili,B站,2026-08-02,5,1,4,50.63,0.0,50.63,0,2119,2861,87,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-02T12:00:00+08:00
wechat,公众号,2026-08-02,6,5,1,0.0,0.0,0.0,0,2388,3224,103,14,26,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-02T12:00:00+08:00
xhs,小红书,2026-08-03,2,3,-1,106.65,8.53,0.0,0,1414,1909,49,8,16,6,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-08_模拟指标.csv,2026-08-03T12:00:00+08:00
